standard_id,title,description,category,department,year,status,supersedes,certification_scheme,qco_applicable,qco_reference
IS 12615:2018,Line Operated Three Phase AC Motors (IE Code) 'Efficiency Classes and Performance Specification',"Specifies energy efficiency classes (IE2, IE3, IE4) and performance requirements for line operated three-phase cage induction motors from 0.12 kW to 1000 kW for industrial, pumping, sewage, and commercial applications.",Electrical,ETD 15 (Rotating Machinery),2018,Active,IS 325,Scheme-I / ISI Mark,True,"Electric Motors (Quality Control) Order, 2024 - DPIIT"
IS 325:1996,Three-phase induction motors - Specification (SUPERSEDED),Former standard for three-phase induction motors. Fully superseded and replaced by IS 12615. Specifying this in new public tenders is prohibited and considered a non-compliance risk.,Electrical,ETD 15 (Rotating Machinery),1996,Superseded,,Scheme-I / ISI Mark,False,Superseded by IS 12615:2018 under Electric Motors QCO
IS 12802:2020,Methods of test for three-phase induction motors,"Standard test methods for efficiency determination, temperature rise, winding resistance, insulation resistance, slip, and no-load tests for induction motors.",Electrical,ETD 15 (Rotating Machinery),2020,Active,,Scheme-I / ISI Mark,True,Normative test standard under Electric Motors QCO
IS 12824:2019,Three Phase Induction Motors for Inverter Duty / Variable Frequency Drives (VFD),"Technical requirements for three-phase induction motors operated on variable voltage and variable frequency supplies (VFD inverter fed motors), insulation stress, and bearing current mitigation.",Electrical,ETD 15 (Rotating Machinery),2019,Active,,Scheme-I / ISI Mark,True,Electric Motors QCO
IS 8789:2014,Values of Performance Characteristics for Three-Phase Induction Motors,"Prescribes standard values for power factor, full load current, starting torque, pull-out torque, and efficiency for standard foot and flange mounted industrial motors.",Electrical,ETD 15 (Rotating Machinery),2014,Active,,Scheme-I / ISI Mark,True,Normative reference for IS 12615
IS 996:2009,Single-Phase Small AC and Universal Electric Motors,"Covers performance, dimensions, and testing of fractional kilowatt single-phase induction motors and universal motors for domestic and light industrial machinery.",Electrical,ETD 15 (Rotating Machinery),2009,Active,,Scheme-I / ISI Mark,True,"Electric Motors (Quality Control) Order, 2024"
IS 1180 (Part 1):2014,"Outdoor Type Oil Immersed Distribution Transformers up to and including 2500 kVA, 33 kV","Standard for distribution transformers used in power utilities, smart cities, and public infrastructure projects. Specifies total losses at 50% and 100% loading for BEE Energy Star ratings.",Electrical,ETD 16 (Transformers),2014,Active,IS 1180:1989,Scheme-I / ISI Mark,True,"Distribution Transformers (Quality Control) Order, Ministry of Power"
IS 2026 (Part 1):2011,Power Transformers - Part 1: General Requirements,"Covers design, ratings, temperature rise limits, tapping connections, and specifications for large power transformers installed in electrical transmission and generation grids.",Electrical,ETD 16 (Transformers),2011,Active,IS 2026:1977,Scheme-I / ISI Mark,True,Electrical Equipment QCO
IS 335:2018,Uninhibited and Inhibited Mineral Insulating Oils for Transformers and Switchgears,"Specification for mineral insulating oils used in transformers, switchgear, and circuit breakers, covering dielectric breakdown voltage, moisture content, and oxidation stability.",Electrical,ETD 16 (Transformers),2018,Active,IS 335:1993,Scheme-I / ISI Mark,True,Transformer Oil QCO
IS 694:2010,Polyvinyl Chloride (PVC) Insulated Unsheathed and Sheathed Cables/Cords with Rigid and Flexible Conductor for Rated Voltages up to and including 450/750 V,"Standard for domestic, building, and commercial internal wiring cables, flexible cords, and panel wiring conductors.",Electrical,ETD 09 (Cables & Conductors),2010,Active,IS 694:1990,Scheme-I / ISI Mark,True,"Wires and Cables (Quality Control) Order, 2023 - DPIIT"
IS 7098 (Part 1):1988,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cables for Working Voltages up to and including 1100 V,"Low-voltage armoured and unarmoured power and control cables for public utilities, underground industrial distribution, and power stations.",Electrical,ETD 09 (Cables & Conductors),1988,Active,,Scheme-I / ISI Mark,True,"Wires and Cables QCO, 2023"
IS 7098 (Part 2):2011,Crosslinked Polyethylene (XLPE) Insulated PVC Sheathed Cables for Working Voltages from 3.3 kV up to and including 33 kV,"Medium and high-voltage power cables for urban power distribution networks, municipal infrastructure, and industrial substations.",Electrical,ETD 09 (Cables & Conductors),2011,Active,IS 7098 (Part 2):1985,Scheme-I / ISI Mark,True,"Wires and Cables QCO, 2023"
IS/IEC 60947 (Part 2):2019,"Low-Voltage Switchgear and Controlgear - Part 2: Circuit-Breakers (MCCB, ACB)",Covers air circuit breakers (ACB) and moulded case circuit breakers (MCCB) intended for electrical protection and switching in power distribution boards and industrial motor control centers.,Electrical,ETD 07 (Low Voltage Switchgear),2019,Active,IS 13947 (Part 2),Scheme-I / ISI Mark,True,"Circuit Breakers (Quality Control) Order, 2023 - DPIIT"
IS/IEC 60898 (Part 1):2015,Electrical Accessories - Circuit-Breakers for Overcurrent Protection for Household and Similar Installations (MCB),"Standard for miniature circuit breakers (MCBs) operating at 50 Hz AC up to 125 A for residential, educational, hospital, and public commercial buildings.",Electrical,ETD 07 (Low Voltage Switchgear),2015,Active,IS 8828:1996,Scheme-I / ISI Mark,True,"Electrical Accessories QCO, 2023"
IS 12640 (Part 1):2016,Residual Current Operated Circuit-Breakers without Integral Overcurrent Protection (RCCB),"Standard for RCCB / RCD earth leakage protection switches for preventing electric shocks, electrocution, and electrical fire hazards in public buildings.",Electrical,ETD 07 (Low Voltage Switchgear),2016,Active,IS 12640:2000,Scheme-I / ISI Mark,True,Electrical Safety Equipment QCO
IS 13779:2020,"AC Static Watthour Meters, Class 1 and 2 - Specification","Electronic static electricity energy meters for revenue metering in state discoms, municipal facilities, and smart metering deployments.",Electrical,ETD 13 (Equipment for Electrical Energy Measurement),2020,Active,IS 13779:1999,Scheme-I / ISI Mark,True,"Electricity Meters (Quality Control) Order, 2020"
IS 16444 (Part 1):2015,A.C. Static Direct Connected Smart Meter (Class 1 and 2) - Specification (Smart Prepaid Meters),Standard for smart prepaid and bidirectional communication electricity meters for national smart grid and RDSS public utility tenders.,Electrical,ETD 13 (Electrical Energy Measurement),2015,Active,,Scheme-I / ISI Mark,True,"Smart Meters QCO, Ministry of Power"
IS 3043:2018,Code of Practice for Earthing,"Defines engineering requirements, electrode designs, pipe/plate earthing, chemical earthing, soil resistivity, and safety bonding for electrical installations.",Electrical,ETD 20 (Electrical Installation),2018,Active,IS 3043:1987,Scheme-IV / Code of Practice,False,Mandated by Central Electricity Authority Regulations
IS 2309:1989,Code of Practice for the Protection of Allied Structures against Lightning,"Design, installation, and inspection of lightning protection systems, air terminals, down conductors, and earth terminations for public structures, hospitals, and high-rise towers.",Electrical,ETD 20 (Electrical Installation),1989,Active,,Scheme-IV / Code of Practice,False,National Building Code 2016 Part 8
IS 10322 (Part 5/Sec 1):2012,"Luminaires - Particular Requirements - Fixed General Purpose Luminaires (LED Street Lighting, Flood Lighting)","Safety and performance requirements for commercial, industrial, and municipal LED luminaires, street lamps, and floodlights.",Electrical,ETD 24 (Illumination Engineering),2012,Active,IS 10322 (Part 5/Sec 1):1987,Scheme-I / ISI Mark,True,"Solar/LED Lighting (Quality Control) Order, 2020"
IS 14286:2010,Crystalline Silicon Terrestrial Photovoltaic (PV) Modules - Design Qualification and Type Approval,"Design qualification, mechanical load testing, thermal cycling, damp heat, and UV exposure testing for monocrystalline and polycrystalline solar PV panels in government tenders.",Solar Energy,MED 04 / ETD 28 (Solar Photovoltaic Energy Systems),2010,Active,,Scheme-I / ISI Mark,True,"Solar Photovoltaics, Systems, Devices and Components Goods (Requirements for Compulsory Registration) Order, MNRE"
IS/IEC 61730 (Part 1):2016,Photovoltaic (PV) Module Safety Qualification - Part 1: Requirements for Construction,Specifies fundamental constructional requirements for photovoltaic (PV) modules in order to provide safe electrical and mechanical operation during their intended lifetime (Class II safety).,Solar Energy,ETD 28 (Solar Photovoltaic Energy Systems),2016,Active,IS/IEC 61730 (Part 1):2004,Scheme-I / ISI Mark,True,"Solar Goods Compulsory Registration / QCO, MNRE"
IS/IEC 61730 (Part 2):2016,Photovoltaic (PV) Module Safety Qualification - Part 2: Requirements for Testing,"Prescribes test sequences for electrical shock hazard, fire hazard, mechanical stress, insulation resistance, and dielectric withstand tests on solar panels.",Solar Energy,ETD 28 (Solar Photovoltaic Energy Systems),2016,Active,IS/IEC 61730 (Part 2):2004,Scheme-I / ISI Mark,True,MNRE Solar QCO & BIS Conformity
IS 16221 (Part 2):2015,Safety of Power Converters for use in Photovoltaic Power Systems - Part 2: Particular Requirements for Inverters,"Safety requirements for grid-tied solar inverters, hybrid inverters, and central solar inverters installed in rooftop and utility-scale solar projects.",Solar Energy,ETD 28 (Solar Photovoltaic Energy Systems),2015,Active,,Scheme-II / CRS,True,"Solar Inverters Compulsory Registration Order, MNRE"
IS 16169:2014,Test Procedure of Islanding Prevention Measures for Utility-Interconnected Photovoltaic Inverters,Prescribes test methods to verify that utility-interconnected solar inverters cease to energize the grid within prescribed time limits upon grid power loss (anti-islanding protection).,Solar Energy,ETD 28 (Solar Photovoltaic Energy Systems),2014,Active,,Scheme-II / CRS,True,Central Electricity Authority (Technical Standards for Connectivity)
IS 16560 (Part 1):2017,Solar Photovoltaic Water Pumping Systems - Specification,"Technical requirements, water output performance, motor pump efficiency, and controller requirements for solar agricultural water pumping systems (PM-KUSUM scheme tenders).",Solar Energy,MED 04 (Non-Conventional Energy Sources),2017,Active,,Scheme-I / ISI Mark,True,"PM-KUSUM Technical Guidelines, MNRE"
IS 12933 (Part 1):2003,Solar Flat Plate Collector - Specification,"Thermal performance, construction, absorber coating, glazing, and pressure testing for solar thermal flat plate collectors for solar water heating systems.",Solar Energy,MED 04 (Non-Conventional Energy),2003,Active,IS 12933:1992,Scheme-I / ISI Mark,True,Solar Thermal Goods QCO
IS 16046 (Part 2):2018,Secondary Cells and Batteries Containing Alkaline or Other Non-Acid Electrolytes - Safety Requirements for Portable Lithium Systems,"Safety requirements for portable sealed secondary lithium cells and batteries (Lithium-ion / LiFePO4) for laptops, tablets, telecom UPS, and solar ESS storage.",Solar Energy,ETD 11 (Secondary Cells & Batteries),2018,Active,IS 16046:2015,Scheme-II / CRS,True,Lithium Battery Compulsory Registration Order - MeitY
IS 1651:2013,"Stationary Cells and Batteries, Lead-Acid Type (with Tubular Positive Plates)","High-capacity tubular lead-acid batteries for telecom towers, solar PV energy storage, central inverters, and electrical substations.",Solar Energy,ETD 11 (Secondary Cells & Batteries),2013,Active,IS 1651:1991,Scheme-I / ISI Mark,True,Lead Acid Batteries QCO
IS 13252 (Part 1):2010,"Information Technology Equipment - Safety - Part 1: General Requirements (Laptops, Notebooks, Desktops, Computer Servers)","General safety requirements for IT equipment including laptops, notebooks, desktop PCs, computer servers, scanners, printers, point of sale terminals, and visual display terminals in public procurement.",Electronics & IT,LITD 07 (Information Technology Equipment),2010,Active,,Scheme-II / CRS,True,Electronics and Information Technology Goods (Compulsory Registration Scheme) Order - MeitY
IS 616:2017,"Audio, Video and Similar Electronic Apparatus - Safety Requirements","Safety requirements for electronic apparatus intended for receiving, generating, recording, or reproducing audio, video, and associated signals (Smart TVs, public display screens, PA sound systems).",Electronics & IT,LITD 07 (IT & Electronics),2017,Active,IS 616:2010,Scheme-II / CRS,True,Electronics Goods Compulsory Registration Order - MeitY
IS 16242 (Part 1):2014,Uninterruptible Power Systems (UPS) - Part 1: General and Safety Requirements for UPS,"Standard for online and line-interactive UPS systems, battery backup systems for data centers, municipal control rooms, and government IT infrastructure.",Electronics & IT,LITD 07 (Information Technology),2014,Active,,Scheme-II / CRS,True,UPS (Compulsory Registration Scheme) Order - MeitY
IS 13252 (Part 1) / CCTV:2017,Closed Circuit Television (CCTV) Systems and Video Surveillance Cameras - Safety,"Safety, cybersecurity compliance, power over ethernet (PoE) safety, and enclosure requirements for CCTV security cameras deployed in smart cities and police infrastructure.",Electronics & IT,LITD 07 (Electronics & IT),2017,Active,,Scheme-II / CRS,True,Public Procurement (Preference to Make in India) & MeitY CCTV Security Notification 2024
IS 269:2015,"Ordinary Portland Cement (33 Grade, 43 Grade and 53 Grade) - Specification","Standard for Ordinary Portland Cement (OPC) 33, 43, and 53 grades used in structural concrete, bridge piers, RCC buildings, and critical infrastructure projects.",Civil & Construction,CED 02 (Cement & Concrete),2015,Active,IS 8112:1989 & IS 12269:1987 (Integrated into IS 269),Scheme-I / ISI Mark,True,"Cement (Quality Control) Order, 2024 - DPIIT"
IS 456:2000,Plain and Reinforced Concrete - Code of Practice,"The national engineering code for structural design and execution of reinforced concrete (RCC) structures, minimum cover, slump, water-cement ratios, and durability guidelines.",Civil & Construction,CED 02 (Cement & Concrete),2000,Active,IS 456:1978,Scheme-IV / Code of Practice,False,Mandatory Design Code under CPWD and State PWD Manuals
IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement (TMT Rebars),"Technical specification for thermo-mechanically treated (TMT) deformed steel rebars of grades Fe 415, Fe 500, Fe 500D, Fe 550, Fe 550D, and Fe 600 used in seismic-resistant structural foundations and buildings.",Civil & Construction,CED 54 (Concrete Reinforcement),2008,Active,IS 1786:1985,Scheme-I / ISI Mark,True,"Steel and Steel Products (Quality Control) Order, Ministry of Steel"
IS 2062:2011,Hot Rolled Medium and High Tensile Structural Steel - Specification,"Specification for structural steel plates, beams, channels, angles, and hollow sections used in bridge construction, steel girders, industrial sheds, and civil infrastructure.",Civil & Construction,CED 54 (Structural Steel),2011,Active,IS 2062:2006,Scheme-I / ISI Mark,True,"Steel and Steel Products QCO, Ministry of Steel"
IS 4985:2021,Unplasticized PVC Pipes for Potable Water Supplies - Specification,"Technical requirements for UPVC pressure pipes used in municipal drinking water distribution, rural water supply (Jal Jeevan Mission), and underground utility mains.",Civil & Construction,CED 50 (Plastic Piping Systems),2021,Active,IS 4985:2000,Scheme-I / ISI Mark,True,"Pipes and Fittings (Quality Control) Order, 2023 - DPIIT"
IS 8329:2000,"Centrifugally Cast (Ductile) Iron Pressure Pipes for Water, Gas and Sewage","Ductile Iron (DI) K7 and K9 class pressure pipes with socket and spigot ends used in long-distance raw water transmission, urban sewage pumping mains, and water supply trunk lines.",Civil & Construction,CED 50 (Piping Systems),2000,Active,IS 8329:1990,Scheme-I / ISI Mark,True,"Cast Iron and Ductile Iron Products (Quality Control) Order, 2023"
